z,n,name,levelEnergy(MeV),halflife,halflifeUnit,halflifeUncertainty,decayModes,abundance,abundanceUncertainty,betaMinus(keV),betaMinusUncertainty,electronCapture(keV),electronCaptureUncertainty,positronEmission(keV),positronEmissionUncertainty,alpha(keV),alphaUncertainty
93,140,233Np,0,36.2,m,1,A LE 1.0E-3,,,-2.10E+03,7,1.03E+03,5,0,AP,5.63E+03,5
94,130,224Pu,,,,,,,,-8.00E+03,5,3.20E+03,3,2.20E+03,3,9.80E+03,3
94,132,226Pu,,,,,,,,-7.30E+03,4,2.81E+03,23,1.79E+03,23,8.93E+03,21
94,131,225Pu,,,,,,,,-6.10E+03,5,4.70E+03,3,3.70E+03,3,9.40E+03,3
94,127,221Pu,,,,,,,,,,6.00E+03,4,5.00E+03,4,1.05E+04,3
94,129,223Pu,,,,,,,,-6.60E+03,4,5.50E+03,3,4.40E+03,3,1.04E+04,3
94,128,222Pu,,,,,,,,,,3.80E+03,3,2.80E+03,3,1.07E+04,3
94,152,246Pu,0,10.84,d,2,B- = 100.00,,,401,14,,,,,4.35E+03,20
94,151,245Pu,0,10.5,h,1,B- = 100.00,,,1278,14,-2.67E+03,20,-3.69E+03,20,4.56E+03,20
94,153,247Pu,0,2.27,d,23,B- = 100.00,,,2.06E+03,22,,,,,4.30E+03,4
94,150,244Pu,0,8.00E+07,y,9,A = 99.88,,,-73,3,-3.43E+03,10,-4.46E+03,10,4665.6,10
94,150,244Pu,0,8.00E+07,y,9,SF = 0.12,,,-73,3,-3.43E+03,10,-4.46E+03,10,4665.6,10
94,149,243Pu,0,4.956,h,3,B- = 100.00,,,580,3,-2.05E+03,3,-3.07E+03,3,4757,3
94,148,242Pu,0,3.75E+05,y,3 3,A = 100.00,,,-751.1,7,-2.70E+03,20,-3.72E+03,20,4984.2,10
94,148,242Pu,0,3.75E+05,y,3 3,SF = 5.5E-4,,,-751.1,7,-2.70E+03,20,-3.72E+03,20,4984.2,10
94,145,239Pu,0,24110,y,30,A = 100.00,,,-802.1,17,-722.8,9,-1744.8,9,5244.52,21
94,145,239Pu,0,24110,y,30,SF = 3.E-10,,,-802.1,17,-722.8,9,-1744.8,9,5244.52,21
